H,Date,HE,MWh
D,4/28/2011,21,15499.73
D,4/28/2011,22,14560.17
D,4/28/2011,23,13166.13
D,4/28/2011,24,12186.95
D,4/29/2011,1,11477.52
D,4/29/2011,2,10880.36
D,4/29/2011,3,10554.48
D,4/29/2011,4,10414.05
D,4/29/2011,5,10612.54
D,4/29/2011,6,11474.18
D,4/29/2011,7,12438.83
D,4/29/2011,8,13584.72
D,4/29/2011,9,14263.07
D,4/29/2011,10,14669.02
D,4/29/2011,11,14973.87
D,4/29/2011,12,15076.22
D,4/29/2011,13,15044.63
D,4/29/2011,14,15023.06
D,4/29/2011,15,14851.17
D,4/29/2011,16,14598.1
D,4/29/2011,17,14415.72
D,4/29/2011,18,14193.62
D,4/29/2011,19,13916.9
D,4/29/2011,20,14028.22
D,4/29/2011,21,14393.84
D,4/29/2011,22,13725.26
D,4/29/2011,23,12580.64
D,4/29/2011,24,11344.25
D,4/30/2011,1,10663.08
D,4/30/2011,2,10330.89
D,4/30/2011,3,10100.34
D,4/30/2011,4,10072.87
D,4/30/2011,5,9861.96
D,4/30/2011,6,10127.3
D,4/30/2011,7,10178.99
D,4/30/2011,8,11096.4
D,4/30/2011,9,12139.02
D,4/30/2011,10,12796.92
D,4/30/2011,11,13079.96
D,4/30/2011,12,13133.82
D,4/30/2011,13,13034.25
D,4/30/2011,14,12817.77
D,4/30/2011,15,12613.33
D,4/30/2011,16,12504.1
D,4/30/2011,17,12538.58
D,4/30/2011,18,12688.18
D,4/30/2011,19,12744.8
D,4/30/2011,20,12905.04
D,4/30/2011,21,13510.66
D,4/30/2011,22,13016.39
D,4/30/2011,23,12051.5
D,4/30/2011,24,11006.94
D,5/1/2011,1,10364.43
D,5/1/2011,2,9845.89
D,5/1/2011,3,9554.52
D,5/1/2011,4,9441.03
D,5/1/2011,5,9471.35
D,5/1/2011,6,9619.84
D,5/1/2011,7,9928.57
D,5/1/2011,8,10490.93
D,5/1/2011,9,11425.78
D,5/1/2011,10,12137.29
D,5/1/2011,11,12464.44
D,5/1/2011,12,12585.16
D,5/1/2011,13,12578.3
D,5/1/2011,14,12425.52
